,title,company,link,job_id,location,date,has_job_description
51,"PHP ontwikkelaar voor SaaS financiële platforms, Zevenhoven",Dexter,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-voor-saas-financi%C3%ABle-platforms-zevenhoven-at-dexter-3890271603,3890271603,Zevenhoven,2024-04-09,False
52,"Ervaren Fullstack developer regio Utrecht (PHP, Vue.js, Javascript)",Dexter,https://nl.linkedin.com/jobs/view/ervaren-fullstack-developer-regio-utrecht-php-vue-js-javascript-at-dexter-3890277460,3890277460,Utrecht,2024-04-09,False
53,Ervaren Backend php developer in omgeving Haarlem,Dexter,https://nl.linkedin.com/jobs/view/ervaren-backend-php-developer-in-omgeving-haarlem-at-dexter-3890600298,3890600298,Haarlem,2024-04-09,False
54,Senior .NET Ontwikkelaar,Xuntos,https://nl.linkedin.com/jobs/view/senior-net-ontwikkelaar-at-xuntos-3890175003,3890175003,The Hague,2024-04-09,False
55,BPM ontwikkelaar,Belastingdienst,https://nl.linkedin.com/jobs/view/bpm-ontwikkelaar-at-belastingdienst-3890936423,3890936423,Apeldoorn,2024-04-10,False
56,"C# Ontwikkelaar, Zwijndrecht",Bytes Recruitment,https://nl.linkedin.com/jobs/view/c%23-ontwikkelaar-zwijndrecht-at-bytes-recruitment-3890239460,3890239460,Zwijndrecht,2024-04-09,False
57,"Technisch Ontwikkelaar, Alkmaar",HYP Technical,https://nl.linkedin.com/jobs/view/technisch-ontwikkelaar-alkmaar-at-hyp-technical-3890282979,3890282979,Alkmaar,2024-04-09,False
58,"PHP/Laravel ontwikkelaar voor Magento-webwinkels, upgrades en migraties, Dordrecht",DEXTER,https://nl.linkedin.com/jobs/view/php-laravel-ontwikkelaar-voor-magento-webwinkels-upgrades-en-migraties-dordrecht-at-dexter-3890283644,3890283644,Dordrecht,2024-04-09,False
59,"Magento Developer voor Digital Agency, Helmond",Dexter,https://nl.linkedin.com/jobs/view/magento-developer-voor-digital-agency-helmond-at-dexter-3890262309,3890262309,Helmond,2024-04-09,False
60,"DevOps Developer (Medior/Senior), Dordrecht",Futureproof Group B.V.,https://nl.linkedin.com/jobs/view/devops-developer-medior-senior-dordrecht-at-futureproof-group-b-v-3890252503,3890252503,Dordrecht,2024-04-09,False
61,"Erfgoed ontwikkelaar, projectleider",COUP,https://nl.linkedin.com/jobs/view/erfgoed-ontwikkelaar-projectleider-at-coup-3892255178,3892255178,Delft,2024-04-10,False
62,Ervaren SAP ABAP Ontwikkelaar,Eminent Groep,https://nl.linkedin.com/jobs/view/ervaren-sap-abap-ontwikkelaar-at-eminent-groep-3890733659,3890733659,Rotterdam,2024-04-10,False
63,"Magento Developer, Rhenen",Dexter,https://nl.linkedin.com/jobs/view/magento-developer-rhenen-at-dexter-3890275329,3890275329,Rhenen,2024-04-09,False
64,C# Ontwikkelaar | Zwijndrecht,Bytes Recruitment,https://nl.linkedin.com/jobs/view/c%23-ontwikkelaar-zwijndrecht-at-bytes-recruitment-3889713703,3889713703,Zwijndrecht,2024-04-09,False
65,PHP ontwikkelaar in de omgeving van Zwolle,Dexter,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-in-de-omgeving-van-zwolle-at-dexter-3890265891,3890265891,Zwolle,2024-04-09,False
66,"PHP Laravel/Vue.js Developer, Sliedrecht",DEXTER,https://nl.linkedin.com/jobs/view/php-laravel-vue-js-developer-sliedrecht-at-dexter-3890253667,3890253667,Sliedrecht,2024-04-09,False
67,.NET Software Developer | Etten-Leur,Jelling,https://nl.linkedin.com/jobs/view/net-software-developer-etten-leur-3889713697,3889713697,Etten-Leur,2024-04-09,False
68,"PHP ontwikkelaar | Maatwerk systemen, Helmond",Dexter,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-maatwerk-systemen-helmond-at-dexter-3890267521,3890267521,Helmond,2024-04-09,False
69,Ervaren PHP/Symfony ontwikkelaar in de omgeving van Utrecht,Dexter,https://nl.linkedin.com/jobs/view/ervaren-php-symfony-ontwikkelaar-in-de-omgeving-van-utrecht-at-dexter-3890271181,3890271181,Utrecht,2024-04-09,False
70,Database ontwikkelaar | Bleskensgraaf ca,Jelling,https://nl.linkedin.com/jobs/view/database-ontwikkelaar-bleskensgraaf-ca-3889718087,3889718087,Bleskensgraaf,2024-04-09,False
71,Hardware Engineer,KROHNE,https://nl.linkedin.com/jobs/view/hardware-engineer-at-krohne-3892235882,3892235882,Dordrecht,2024-04-10,False
72,PHP-ontwikkelaar,StarApple,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-at-starapple-3870111330,3870111330,The Hague,2024-04-09,False
73,Oracle database ontwikkelaar | Rotterdam,Jelling,https://nl.linkedin.com/jobs/view/oracle-database-ontwikkelaar-rotterdam-3889716366,3889716366,Rotterdam,2024-04-09,False
74,"Applicatie ontwikkelaar bij verpleegkundigen & verzorgenden Nederland, Utrecht",Springstaff,https://nl.linkedin.com/jobs/view/applicatie-ontwikkelaar-bij-verpleegkundigen-verzorgenden-nederland-utrecht-3890284845,3890284845,Utrecht,2024-04-09,False
75,Medior .Net ontwikkelaar | Ambitieus bedrijf! | Rotterdam,CareerValue,https://nl.linkedin.com/jobs/view/medior-net-ontwikkelaar-ambitieus-bedrijf%21-rotterdam-3889714438,3889714438,Rotterdam,2024-04-09,False
76,"Embedded Software Ontwikkelaar – PCB, Geldermalsen",Comaen,https://nl.linkedin.com/jobs/view/embedded-software-ontwikkelaar-%E2%80%93-pcb-geldermalsen-3890261878,3890261878,Geldermalsen,2024-04-09,False
77,"Quadient Inspire Developer, Culemborg",Korndewal,https://nl.linkedin.com/jobs/view/quadient-inspire-developer-culemborg-3890263389,3890263389,Culemborg,2024-04-09,False
78,Embedded Software Ontwikkelaar – PCB - Geldermalsen,Comaen,https://nl.linkedin.com/jobs/view/embedded-software-ontwikkelaar-%E2%80%93-pcb-geldermalsen-3890624202,3890624202,Gelderland,2024-04-09,False
79,"PHP Developer | Horeca platforms | Laravel, Deurne",Dexter,https://nl.linkedin.com/jobs/view/php-developer-horeca-platforms-laravel-deurne-at-dexter-3890266833,3890266833,Deurne,2024-04-09,False
80,Senior Python Developer - Energietransitie | Utrecht,CareerValue,https://nl.linkedin.com/jobs/view/senior-python-developer-energietransitie-utrecht-3889718055,3889718055,Utrecht,2024-04-09,False
81,Developer Traineeship | Overheid | Apeldoorn,True Legends IT Professionals,https://nl.linkedin.com/jobs/view/developer-traineeship-overheid-apeldoorn-at-true-legends-it-professionals-3891613987,3891613987,Apeldoorn,2024-04-09,False
82,Developers gezocht voor baanbrekende AI applicatie | Wageningen,CareerValue,https://nl.linkedin.com/jobs/view/developers-gezocht-voor-baanbrekende-ai-applicatie-wageningen-3889712906,3889712906,Wageningen,2024-04-09,False
83,.NET Software Developer - Juniorfunctie | Breda,Jelling,https://nl.linkedin.com/jobs/view/net-software-developer-juniorfunctie-breda-3889712895,3889712895,Breda,2024-04-09,False
84,"Ontwikkelaar Werktuigbouwkunde en Duurzaamheid, Amersfoort",Polanski,https://nl.linkedin.com/jobs/view/ontwikkelaar-werktuigbouwkunde-en-duurzaamheid-amersfoort-at-polanski-3890248289,3890248289,Amersfoort,2024-04-09,False
85,Risk Model Developer,DLL,https://nl.linkedin.com/jobs/view/risk-model-developer-at-dll-3889719197,3889719197,Amsterdam,2024-04-09,False
86,Risk Model Developer,DLL,https://nl.linkedin.com/jobs/view/risk-model-developer-at-dll-3889713868,3889713868,Eindhoven,2024-04-09,False
